Models\Metrics,Accuracy,Precision,Recall,F1-Score
KNN,0.92,0.969,0.851,0.918
Logistic Regression,0.942,0.985,0.885,0.941
SVM,0.942,0.985,0.885,0.941
Decision Tree,0.92,0.93,0.892,0.919
Random Forest,0.933,0.992,0.858,0.931
XGBoost,0.939,0.971,0.892,0.938
ANN,0.844,1,0.855,0.833
CNN,0.96,0.966,0.946,0.96
