Models\Metrics,Accuracy,Precision,Recall,F1-Score
KNN,0.999,0.947,0.728,0.911
Logistic Regression,0.999,0.883,0.619,0.864
SVM,0.999,0.93,0.721,0.906
Decision Tree,0.999,0.794,0.735,0.881
Random Forest,0.999,0.94,0.748,0.917
XGBoost,1,0.935,0.782,0.926
ANN,0.999,0.768,0.81,0.894
CNN,0.999,0.958,0.469,0.815
